t_loc,ent,eda,c_ocu11c,ing7c,ambito2,anios_esc,ingocup,mh_col
1,26,48,6,3,3,12,8600,0
1,18,35,6,1,3,9,1720,1
1,4,57,1,3,3,17,0,1
3,11,39,8,3,3,6,6880,0
3,11,39,8,3,3,6,6880,0
1,14,40,5,4,2,15,10000,0
1,20,43,5,3,2,6,8600,0
1,25,34,6,4,3,17,12900,1
1,26,50,8,4,4,9,12000,1
1,30,31,1,4,3,16,10750,1
1,30,50,8,4,3,11,15050,1
2,26,47,5,3,2,8,12900,0
2,1,46,8,2,3,9,3440,0
2,7,45,5,3,2,6,7740,0
2,15,39,5,3,3,11,0,0
3,22,59,3,7,3,16,0,1
3,27,44,5,2,3,6,5160,0
4,12,57,10,1,0,11,2580,1
4,13,68,10,1,0,0,250,1
4,20,60,8,2,3,12,0,0
4,20,36,10,2,0,9,6000,1
4,21,23,5,3,3,12,8600,0
1,9,59,6,3,3,9,6450,0
1,9,59,6,3,3,9,6450,0
1,9,59,6,3,3,9,6450,0
1,9,40,5,2,2,12,0,0
1,9,46,5,3,2,9,8600,0
1,15,48,5,3,3,8,0,0
1,15,17,1,5,4,9,32250,0
1,5,24,5,4,3,12,15050,0
1,24,68,10,4,0,12,10000,1
1,24,30,5,7,3,17,0,1
3,30,62,1,5,3,16,34400,1
1,27,40,3,7,3,17,0,1
1,7,37,5,5,3,17,20000,1
1,25,45,5,5,2,10,25800,1
2,3,50,7,4,2,9,12900,1
2,25,42,8,2,2,9,4515,0
2,26,43,5,2,2,6,8600,0
2,11,51,10,7,0,17,0,1
2,20,33,1,3,3,17,0,1
2,26,59,3,7,3,9,0,1
2,27,51,6,1,2,6,1290,0
3,14,46,10,2,0,6,0,1
3,21,59,10,7,0,3,0,1
4,3,58,10,3,0,3,6450,1
4,3,43,10,2,0,12,4000,1
4,13,85,10,6,0,2,0,1
4,14,46,1,7,3,17,0,1
4,16,34,10,7,0,12,0,1
4,18,59,5,4,2,5,12900,0
4,21,45,5,2,2,9,0,0
4,24,41,6,3,3,9,0,1
2,15,33,6,2,3,12,0,1
1,15,42,6,4,3,8,0,1
1,14,59,6,4,3,6,12040,0
1,14,28,6,4,2,14,0,0
1,19,37,5,7,2,1,0,0
1,19,50,5,5,2,12,21500,0
1,11,67,6,1,3,6,0,1
1,8,46,5,7,8,17,0,1
1,30,49,1,7,3,12,0,1
1,1,46,6,7,3,12,0,1
1,16,50,1,5,3,17,30000,1
1,26,64,5,7,3,6,0,1
1,20,40,1,7,3,17,0,1
1,6,38,5,2,4,17,0,1
1,22,44,5,4,3,9,12900,1
1,2,41,4,1,4,12,0,1
1,6,26,5,3,2,9,0,0
1,13,54,8,1,3,9,0,0
1,17,78,10,7,0,6,0,1
2,28,69,3,5,4,17,40000,1
2,13,51,5,3,2,9,7740,0
2,14,64,10,3,0,17,8600,1
2,15,61,10,7,0,12,0,1
2,15,61,10,7,0,12,0,1
2,17,53,10,7,0,9,0,1
2,21,32,5,3,2,9,7740,0
2,30,81,5,1,3,3,1505,0
3,14,42,3,5,3,9,30000,1
3,14,43,3,4,4,9,0,1
3,21,53,5,4,3,9,15050,0
3,21,52,10,1,0,0,667,1
3,30,49,6,3,3,6,9030,0
3,30,35,5,7,2,3,0,0
3,16,40,5,4,2,9,10750,0
3,23,34,5,3,3,12,7740,0
4,12,56,5,2,2,0,4500,0
4,13,50,1,4,2,9,12900,1
4,13,38,8,3,2,12,6450,0
4,15,30,5,3,2,6,8600,0
4,16,46,10,7,0,2,0,1
4,30,38,10,7,0,16,0,1
4,31,42,5,3,2,6,6450,0
1,9,63,5,2,2,6,0,0
1,9,29,1,3,4,16,8000,1
1,14,43,6,3,3,9,0,1
1,21,30,3,3,3,14,8600,1
1,8,54,5,7,3,17,0,1
1,28,54,1,5,3,17,20000,1
1,25,54,6,3,3,17,6450,1
1,32,57,3,7,3,12,0,1
2,5,47,5,3,2,9,6450,1
2,13,49,6,7,4,6,0,0
2,14,40,5,3,2,6,8600,0
2,20,33,10,2,0,3,5000,1
3,7,37,3,2,3,9,5000,0
3,7,27,5,2,2,6,5160,0
3,18,44,5,3,2,9,6450,0
3,14,34,5,4,2,9,12900,0
3,26,26,5,5,3,8,25800,1
3,30,58,5,7,3,3,0,1
4,10,51,6,1,2,2,1720,0
4,10,55,10,1,0,0,1666,1
4,11,46,5,3,2,6,0,0
4,16,29,5,3,3,11,7740,0
4,16,46,10,5,0,9,30000,1
4,23,49,10,1,0,9,571,1
4,26,46,10,5,0,9,21500,1
4,30,48,10,6,0,6,0,1
4,30,48,10,6,0,6,0,1
