t_loc,ent,sex,eda,n_hij,e_con,salario,c_ocu11c,ing7c,dur9c,ambito2,anios_esc,hrsocup,ingocup,tcco,scian,mh_col
1,21,1,50,0,5,3080,5,3,6,3,8,44,8600,0,5,0
1,21,1,52,0,5,3080,6,4,7,2,9,50,15050,0,6,0
1,11,1,50,0,5,3080,5,5,7,3,14,55,18000,0,5,1
1,5,1,65,0,5,3080,6,2,8,3,17,72,4300,3,7,1
1,5,1,59,0,5,3080,5,7,7,3,17,55,0,0,5,1
3,16,1,50,0,5,3080,6,7,8,3,6,84,0,0,7,1
1,7,2,55,2,5,3080,3,5,5,5,17,36,20000,0,6,1
1,25,1,50,0,5,3080,6,5,6,3,17,46,20000,0,7,1
1,25,1,48,0,5,3080,7,4,7,2,12,56,12000,0,8,1
1,10,1,60,0,5,3080,6,7,6,4,17,48,0,0,7,1
1,17,2,61,4,2,3080,8,1,3,2,6,18,1720,0,18,0
1,22,1,54,0,5,3080,1,7,7,0,16,55,0,0,4,1
3,29,1,43,0,5,3080,5,4,8,3,9,63,12900,0,5,1
1,13,2,47,2,5,3080,8,7,7,3,9,54,0,0,19,0
1,28,1,53,0,3,5302,8,2,6,3,1,42,8600,0,18,1
2,14,1,45,0,1,3080,6,2,5,2,7,35,0,0,7,0
2,21,2,60,8,3,3080,5,2,6,3,6,42,6000,0,5,0
3,6,2,58,3,5,3080,5,7,7,3,9,56,0,0,7,1
3,12,1,55,0,5,3080,8,4,5,3,6,36,10320,0,18,0
3,16,1,49,0,5,3080,5,4,7,3,9,56,9890,0,5,1
3,20,1,83,0,4,3080,7,3,8,2,8,84,7500,0,8,0
3,22,1,40,0,5,3080,5,4,7,2,6,50,12040,0,4,0
3,26,1,41,0,1,3080,5,3,7,3,9,56,6450,0,19,0
3,30,1,53,0,5,3080,5,2,6,2,9,40,5160,0,4,0
3,30,1,98,0,5,3080,6,3,8,2,6,60,9030,0,7,0
4,1,1,47,0,5,3080,6,1,8,3,9,66,3010,2,6,1
4,8,1,86,0,4,3080,10,2,6,0,3,42,4166,0,1,1
4,11,1,44,0,5,3080,10,4,6,0,6,40,10750,0,1,1
4,16,1,66,0,1,3080,10,5,3,0,4,20,20833,0,1,1
