"ent","sex","eda5c","e_con","niv_ins","t_loc","rama","ing7c","mh_col","eda"
"20",1,4,4,2,3,4,3,5,"83"
"21",1,3,5,3,3,1,5,5,"46"
"26",1,2,1,3,3,4,3,5,"41"
"30",1,3,5,3,3,1,2,5,"53"
"11",2,3,5,3,4,3,2,5,"45"
"14",1,3,5,2,4,1,4,5,"50"
"17",1,2,5,3,4,1,7,5,"32"
"18",1,2,5,3,4,6,1,6,"35"
"19",1,4,5,1,4,6,1,6,"76"
"20",1,3,5,1,4,1,3,5,"52"
"21",1,2,6,2,4,1,3,5,"41"
"21",1,3,1,3,4,6,1,6,"49"
"21",1,2,5,3,4,6,5,6,"39"
"25",2,3,5,1,4,2,3,6,"61"
"27",1,3,1,4,4,3,3,6,"56"
"27",1,3,5,3,4,2,2,6,"59"
"27",1,3,1,3,4,6,1,6,"46"
"09",1,3,2,3,1,1,7,6,"51"
"09",1,3,2,3,1,1,7,6,"51"
"09",2,2,5,4,1,4,5,6,"39"
"09",2,2,2,3,1,3,1,5,"40"
"09",1,2,5,4,1,3,5,6,"27"
"09",1,2,2,2,1,1,4,5,"35"
"15",2,2,6,3,1,4,2,6,"30"
"15",2,2,6,3,1,4,2,6,"30"
"15",2,2,6,3,1,4,2,6,"30"
"15",2,2,6,3,1,4,2,6,"30"
"15",2,2,4,2,1,4,3,5,"42"
"15",1,3,2,2,1,3,7,6,"63"
"15",1,3,5,4,1,2,7,6,"50"
"15",1,3,5,4,1,2,7,6,"50"
"14",2,3,5,4,1,4,4,6,"59"
"14",1,2,5,1,1,1,3,5,"35"
"14",2,2,5,2,2,2,4,6,"32"
"14",1,2,5,4,1,2,3,5,"32"
"14",1,2,6,4,1,4,7,6,"34"
"14",1,2,6,4,1,4,7,6,"34"
"19",1,3,5,2,1,1,1,5,"54"
"19",1,3,5,3,1,2,4,6,"48"
"21",1,3,5,3,1,4,5,6,"55"
"21",1,3,5,3,2,4,4,6,"50"
"21",1,3,5,3,1,4,2,5,"50"
"05",1,2,5,3,1,3,2,6,"43"
"24",1,2,5,3,1,4,7,5,"43"
"31",1,4,4,2,1,2,7,6,"79"
"01",1,2,5,4,1,3,5,6,"44"
"15",2,2,1,4,1,2,7,5,"27"
"07",1,3,1,2,1,1,3,5,"49"
"02",1,3,5,3,2,3,3,6,"45"
"10",1,3,5,2,1,1,3,5,"45"
"20",1,2,5,4,3,4,1,5,"39"
"22",2,2,6,4,1,4,7,6,"33"
"29",2,2,6,4,3,4,5,6,"36"
