"ent","sex","eda5c","e_con","niv_ins","t_loc","rama","ing7c","mh_col"
"21",1,1,1,3,2,1,3,5
"21",2,1,5,3,1,4,7,5
"21",2,1,5,3,1,4,7,5
"11",1,2,5,4,1,2,4,6
"05",1,4,5,4,1,3,2,6
"10",1,3,5,3,1,2,3,6
"31",1,1,6,4,1,1,4,5
"08",1,1,5,3,1,4,3,6
"08",1,3,5,4,1,4,3,6
"28",1,2,5,4,1,3,5,6
"12",1,3,1,1,1,1,2,5
"01",2,3,5,2,1,3,4,6
"01",2,3,5,3,1,4,4,6
"16",1,2,5,4,1,4,2,6
"15",1,2,1,3,1,3,5,6
"15",1,4,5,4,2,3,2,6
"07",2,3,2,4,1,2,4,6
"08",2,2,6,3,1,4,1,5
"08",1,2,5,4,1,2,3,6
"25",1,3,5,4,1,2,4,6
"26",1,3,5,4,1,4,5,6
"26",1,3,4,4,1,3,7,6
"10",1,3,5,4,1,3,7,6
"18",2,2,6,3,1,4,4,6
"17",2,3,2,3,2,4,7,6
"13",2,3,5,3,1,4,7,5
"02",1,2,1,4,1,4,2,6
"02",1,2,1,3,1,1,2,5
"06",1,2,5,2,1,4,2,5
"11",1,3,5,4,1,2,4,6
"12",1,4,1,3,1,3,5,5
"16",1,3,5,1,1,2,3,5
"25",1,3,1,4,1,6,5,6
"26",2,2,6,4,1,4,5,6
"26",1,3,1,4,1,2,7,6
"28",1,2,2,4,1,4,3,6
"14",2,2,6,4,2,3,2,6
"14",2,2,6,4,2,3,2,6
"16",1,2,5,4,2,4,5,6
"20",1,2,1,3,2,3,4,5
"20",1,3,5,3,2,1,3,5
"01",1,2,1,2,2,2,7,5
"07",2,3,1,1,2,4,3,5
"18",2,3,2,2,2,4,2,5
"20",2,2,1,4,2,4,3,6
"20",1,3,5,2,2,3,3,5
"21",2,3,3,2,2,2,2,5
"27",2,3,4,4,2,4,3,6
"31",2,2,5,2,2,6,2,6
"31",1,2,6,3,2,1,2,5
"06",2,2,5,4,3,3,5,6
"07",1,2,1,3,3,6,1,6
"07",1,2,5,3,3,2,7,6
"08",1,3,6,4,3,3,3,6
"12",1,3,5,2,3,4,4,5
"12",1,3,5,2,3,4,4,5
"16",1,2,5,2,3,1,4,5
"16",1,3,5,3,3,2,4,6
"17",2,2,5,3,3,4,7,5
"18",1,3,5,4,3,3,7,6
"07",1,3,5,2,3,6,1,6
"20",1,4,4,2,3,4,3,5
"21",1,3,5,3,3,1,5,5
"21",1,3,5,2,3,6,4,6
"25",1,2,5,3,3,4,7,5
"26",1,2,1,3,3,4,3,5
"30",2,3,5,4,3,4,1,6
"30",1,5,5,2,3,3,3,5
"10",1,3,5,2,4,6,5,6
"12",1,3,5,2,4,2,2,5
"14",1,4,1,1,4,3,4,5
"16",1,3,5,1,4,2,2,5
"18",1,2,5,3,4,6,1,6
"19",1,4,5,1,4,6,1,6
"21",1,3,1,1,4,1,2,5
"21",1,3,1,3,4,6,1,6
"25",2,3,5,1,4,2,3,6
"25",2,3,5,1,4,2,3,6
"27",1,3,1,4,4,3,3,6
"27",1,3,1,4,4,3,3,6
"27",1,3,1,3,4,6,1,6
"30",1,4,5,1,4,6,2,6
"30",1,3,5,1,4,1,2,5
"30",1,2,5,3,4,6,3,6
"09",1,3,2,3,1,1,7,6
"09",2,2,5,4,1,4,5,6
"09",2,2,5,4,1,4,5,6
"09",1,3,5,3,1,4,2,5
"09",1,3,5,3,1,4,2,5
"15",2,2,6,3,1,4,2,6
"15",1,3,2,2,1,3,7,6
"15",1,3,5,4,1,2,7,6
"15",1,3,5,4,1,2,7,6
"15",1,3,5,4,1,2,7,6
"14",1,2,5,1,1,1,3,5
"14",1,2,5,2,1,1,3,5
"14",1,2,5,3,1,3,3,5
"14",1,2,5,3,1,3,3,5
"19",2,3,4,4,1,4,7,6
"21",1,3,5,3,1,4,5,6
"21",1,3,5,3,2,4,4,6
