t_loc,ent,eda,c_ocu11c,ing7c,ambito2,anios_esc,ingocup,mh_col
1,15,55,6,5,5,16,0,1
1,15,17,1,5,4,9,32250,0
1,15,32,5,2,2,6,0,0
1,14,38,6,5,3,17,0,1
1,14,38,6,5,3,17,0,1
1,14,37,6,7,3,9,0,1
1,14,26,3,2,3,12,0,1
1,19,53,1,5,3,18,35000,1
1,19,56,6,3,3,9,8600,1
1,5,25,5,3,3,10,8600,0
3,30,62,1,5,3,16,34400,1
2,30,34,6,7,3,16,0,1
2,15,68,3,5,4,17,0,1
1,8,64,1,7,3,19,0,1
1,26,61,3,7,3,17,0,1
1,17,51,3,7,3,17,0,0
1,22,42,6,7,3,19,0,1
1,22,42,6,7,3,19,0,1
1,28,71,3,7,5,17,0,1
2,3,50,7,4,2,9,12900,1
2,7,59,5,2,3,6,5160,1
2,16,41,6,4,2,6,12900,0
2,16,41,6,4,2,6,12900,0
2,26,43,5,2,2,6,8600,0
2,14,61,10,2,0,6,3333,1
2,25,37,5,3,3,9,8600,0
3,21,44,5,3,2,6,6450,0
3,21,44,5,3,2,6,6450,0
3,30,59,6,7,3,12,0,1
3,12,24,8,2,3,12,0,1
3,12,24,8,2,3,12,0,1
3,24,48,1,5,4,17,2.00E+05,1
4,7,39,5,3,3,6,6450,0
4,11,59,10,4,0,3,14333,1
4,13,41,1,1,2,6,0,0
4,16,48,5,1,3,17,2000,1
4,25,36,10,3,0,2,0,1
4,27,56,5,3,2,6,8600,0
1,9,30,3,7,0,12,0,1
1,9,73,6,5,3,17,0,1
1,9,47,6,2,3,12,4300,1
1,9,26,5,2,2,12,0,0
1,9,48,8,7,4,9,0,0
1,9,58,1,4,3,16,0,1
1,14,43,6,4,3,11,0,1
1,19,48,8,2,2,12,4300,0
2,21,53,5,3,2,9,8600,0
1,21,32,6,4,2,17,10750,0
1,21,50,5,2,2,9,0,0
1,5,39,8,4,2,9,12040,0
1,16,57,5,4,2,6,15050,0
1,5,29,1,4,2,17,0,0
2,7,49,5,2,2,6,5160,0
1,25,25,6,5,3,9,50000,1
1,4,67,3,5,2,9,17200,0
1,17,55,1,7,3,17,0,1
1,20,60,6,1,3,12,2150,1
1,6,38,5,2,4,17,0,1
1,22,75,8,4,3,14,0,1
1,2,41,4,1,4,12,0,1
3,17,50,5,3,2,6,6450,0
1,23,50,5,3,2,8,8600,0
1,26,56,5,3,3,99,0,0
1,26,55,5,7,3,9,0,1
1,28,35,5,3,3,13,15000,1
2,28,69,3,5,4,17,40000,1
2,8,46,3,3,4,17,7000,1
2,14,64,10,3,0,17,8600,1
2,15,61,10,7,0,12,0,1
2,15,61,10,7,0,12,0,1
2,15,61,10,7,0,12,0,1
2,17,53,10,7,0,9,0,1
2,23,28,6,2,3,17,3900,1
2,30,81,5,1,3,3,1505,0
3,14,42,3,5,3,9,30000,1
3,14,42,3,5,3,9,30000,1
3,20,77,10,6,0,0,0,1
3,21,52,10,1,0,0,667,1
3,21,50,10,6,0,0,0,1
3,30,35,5,7,2,3,0,0
3,23,34,5,3,3,12,7740,0
4,13,50,1,4,2,9,12900,1
4,15,30,5,3,2,6,8600,0
4,16,46,10,7,0,2,0,1
4,16,46,10,7,0,2,0,1
4,16,36,5,3,2,9,8600,0
4,16,44,5,4,3,12,12900,0
4,16,22,10,7,0,6,0,1
4,18,49,5,3,2,9,7740,0
4,18,34,5,2,2,9,6020,0
4,19,50,5,4,3,12,10750,0
4,24,46,5,1,2,9,1290,0
4,30,23,10,5,0,9,25800,1
4,30,38,10,7,0,16,0,1
4,30,38,10,7,0,16,0,1
1,9,63,5,2,2,6,0,0
1,15,41,6,4,3,13,0,1
1,15,49,5,3,2,9,6880,0
1,14,43,6,3,3,9,0,1
1,19,35,5,3,2,9,7310,0
1,19,86,10,7,0,6,0,1
1,11,52,1,5,3,18,18000,0
1,8,26,1,5,4,17,0,1
1,8,48,6,4,3,17,0,1
1,12,75,3,4,4,9,10000,1
1,1,46,5,2,3,9,5000,0
2,1,43,5,7,2,1,0,0
1,16,43,1,7,3,16,0,1
1,15,65,6,4,3,9,0,1
2,15,67,6,3,2,2,0,0
1,25,35,4,7,3,12,0,1
1,25,54,6,3,3,17,6450,1
1,26,54,6,4,4,9,12900,1
1,20,40,5,1,2,12,0,0
1,3,30,3,5,3,12,30100,1
1,11,48,1,3,3,16,0,1
1,21,47,5,3,3,12,6450,0
1,25,31,5,4,2,9,12040,0
1,30,45,6,7,3,16,0,1
1,30,50,6,7,3,6,0,1
2,5,47,5,3,2,9,6450,1
2,11,50,8,3,2,6,0,0
2,25,50,10,5,0,17,66700,1
2,29,48,1,5,2,17,25800,0
2,8,59,10,3,0,16,7000,1
2,14,40,5,3,2,6,8600,0
2,14,33,5,3,3,13,0,1
3,6,23,6,2,3,12,4300,0
3,7,37,3,2,3,9,5000,0
3,20,49,5,3,2,0,7740,0
3,13,59,5,3,2,6,6450,0
3,21,52,10,3,0,6,0,1
4,8,44,10,7,0,12,0,1
4,10,51,6,1,2,2,1720,0
4,10,55,10,1,0,0,1666,1
4,11,67,6,2,3,4,6000,1
4,11,67,6,2,3,4,6000,1
4,15,72,5,3,3,6,0,0
4,16,29,5,3,3,11,7740,0
4,18,61,5,1,2,9,2150,0
4,25,47,5,3,2,6,8600,0
4,26,46,10,5,0,9,21500,1
4,30,48,10,6,0,6,0,1
